Facility Fluid,IT Fluid,Heat Rate (kW),UA (W/K),Hot Inlet Temp (C),Hot Outlet Temp (C),Cold Inlet Temp (C),Cold Outlet Temp (C),Hot Mass Flow (kg/s),Cold Mass Flow (kg/s)
air,pg25,100.0,33152.47509275618,22.999954302477647,13.081792466522359,10.0,20.0,2.5718899917931917,9.941596904896347
air,pg25,100.0,33151.40574293551,32.999953741960496,23.081282618754358,20.0,30.0,2.5556686942697078,9.938938983497108
air,pg25,100.0,33150.29354287427,42.99995315561563,33.08078016244599,30.0,40.0,2.5396502377203998,9.93550071019546
air,pg25,100.0,33149.13721052114,52.99995254232772,43.080284952621525,40.0,50.0,2.523830625357267,9.931272697272387
air,pg25,100.0,33147.939005335174,62.99995190283005,53.07979684985014,50.0,60.0,2.5082059644375745,9.926245521902318
air,pg25,250.0,82880.43528558967,22.999981686917124,13.081820021946555,10.0,20.0,6.429724979482979,24.853992262240865
air,pg25,250.0,82877.752769209,32.99998146090678,23.081310509707293,20.0,30.0,6.389171735674269,24.84734745874277
air,pg25,250.0,82874.96270835306,42.99998122443111,33.08080840437469,30.0,40.0,6.349125594300999,24.838751775488653
air,pg25,250.0,82872.06187996702,52.999980977035534,43.08031356163633,40.0,50.0,6.3095765633931675,24.828181743180966
air,pg25,250.0,82869.05594489444,62.99998071901126,53.07982584161516,50.0,60.0,6.270514911093937,24.815613804755795
air,pg25,500.0,165760.84097763558,22.999982225433996,13.081820563825886,10.0,20.0,12.859449958965959,49.70798452448173
air,pg25,500.0,165755.4755859646,32.99998200599026,23.08131105817324,20.0,30.0,12.778343471348538,49.69469491748554
air,pg25,500.0,165749.8950888765,42.99998177638315,33.080808959730916,30.0,40.0,12.698251188601999,49.677503550977306
air,pg25,500.0,165744.09303954567,52.999981536171276,43.08031412419962,40.0,50.0,12.619153126786335,49.65636348636193
air,pg25,500.0,165738.08076015426,62.99998128563698,53.07982641169343,50.0,60.0,12.541029822187873,49.63122760951159
air,pg25,1000.0,331521.5936142927,22.99998302920943,13.08182137261997,10.0,20.0,25.718899917931918,99.41596904896346
air,pg25,1000.0,331510.86175965524,32.99998281956596,23.081311876797486,20.0,30.0,25.556686942697077,99.38938983497108
air,pg25,1000.0,331499.6996450062,42.99998260020993,33.08080978863859,30.0,40.0,25.396502377203998,99.35500710195461
air,pg25,1000.0,331488.09437461104,52.99998237071918,43.08031496386337,40.0,50.0,25.23830625357267,99.31272697272387
air,pg25,1000.0,331476.0685942411,62.99998213136348,53.07982726257313,50.0,60.0,25.082059644375747,99.26245521902318
air,515,100.0,13883.827866410791,23.04690681604967,14.032972676614463,10.0,20.0,1.0900600213715546,9.941596904896347
air,515,100.0,14065.286557485293,32.95193479286996,23.752329145514125,20.0,30.0,1.1349582476285256,9.938938983497108
air,515,100.0,13749.518458977558,43.049889877425244,33.56420176369022,30.0,40.0,1.187971717305783,9.93550071019546
air,515,100.0,13903.956660226962,52.95157027356737,43.21029582499392,40.0,50.0,1.2519782535054453,9.931272697272387
air,515,100.0,13310.654968342309,63.144944824109245,53.00382756538767,50.0,60.0,1.331444857666289,9.926245521902318
air,515,250.0,34686.38332883058,23.05067607907199,14.035562712298429,10.0,20.0,2.7251500534288864,24.853992262240865
air,515,250.0,34578.060308076805,33.04528372003807,23.81485222113207,20.0,30.0,2.837395619071314,24.84734745874277
